Category,Question
what,what kind of books does fodor 's publish ? 
what,"what are the first names of rowan and martin , the stars of tv 's laugh-in ? "
what,what chapter of the bible has the most verses ? 
who,who is the worst us president ever ? 
what,what asian leader was known as the little brown saint ? 
what,what is the abbreviated expression for the national bureau of investigation ? 
unknown,how fast does the fastest car go ? 
what,what is the highest mountain in the world ? 
what,what arch can you see from the place de la concorde ? 
who,who sings the song `` drink to me with thine eyes '' by ben johnson ? 
unknown,how long should a person wash their hands before they are clean ? 
unknown,which way do you turn your bic to increase the flame - clockwise or counterclockwise ? 
unknown,which is the wealthiest country in the world ? 
unknown,how can i find a phone number of someone if i only know their email address ? 
unknown,how can you contact play producers and promoters on-line ? 
who,who is the monarch of the united kingdom ? 
what,what is a fear of passing high objects ? 
what,what do players try to do when the music stops in a game of musical chairs ? 
what,what are the top ten most common girl names in the us ? 
unknown,why is black the color of mourning in the west ? 
what,what is the rarest coin ? 
what,what judith rossner novel was made into a film starring diane keaton ? 
unknown,which country is australia 's largest export market ? 
unknown,where is the kentucky horse park located ? 
what,what is a fear of parasites ? 
unknown,in what olympic games did nadia comaneci become popular ? 
who,who does data collection in tourism ? 
what,what was the name of the daughter of the virginia chief powhatan that married john rolfe ? 
what,what is the leading pecan and peanut growing state ? 
unknown,what does a nihilist believe in ? 
unknown,what did richard feynman say upon hearing he would receive the nobel prize in physics ? 
unknown,"in what sport are these following numbers relevant : 118 , 126 , 134 , 142 , 15 , 158 , 167 , 177 , and 19 ? "
who,who were the four famous founders of united artists ? 
what,what 2 statues did france give to other countries ? 
what,what are amphibians ? 
unknown,how many sperm cells are in an average ejaculation ? 
unknown,name the disposable razor that `` costs about 19 cents . '' 
unknown,how far do you have to run if you hit a home run ? 
who,who was the only u.s. president to wear a nazi uniform ? 
what,woodrow wilson served as president of what university ? 
unknown,where are the tropical rain forest distributions ? 
what,what 's the nickname of oddsmaker jimmy snyder ? 
what,what is the fear of being loved ? 
what,what was the number of people that randy steven craft was convicted of killing ? 
what,what was queen victoria 's title regarding india ? 
unknown,how is a hydrogen bomb different from a nuclear bomb ? 
unknown,how far can a man travel in outer space ? 
unknown,where was lincoln assassinated ? 
what,what type of food makes you fat ? 
what,what is the name of the chronic neurological autoimmune disease which attacks the protein sheath that surrounds nerve cells causing a gradual loss of movement in the body ? 
what,what was the u.s. highway death toll in 1969 ? 
what,"what kind of animals are dorsets , lincolns , oxfords and southdowns ? "
what,what are the shortest and the longest songs ever produced ? 
what,what letter is to the right of k on a typewriter keyboard ? 
what,"what is the origin and the meaning of the name , `` hajo ? "
what,what is the plural of gulf ? 
unknown,whose autobiography is titled yes i can ? 
what,what year did the united states pass the copyright law ? 
what,what percentage of americans own their homes ? 
what,what 's the first day of the week ? 
what,what city was president william mckinley shot in ? 
what,what city has the world 's longest subway system ? 
who,"who claimed he killed 4 , 280 buffalo as food for the crew building the kansas pacific railway ? "
what,what is bombay duck ? 
unknown,how many degrees cooler is the inside of a cucumber than the air outside ? 
what,what double talking `` professor '' holds a doctorate in nothing ? 
what,what are the five most expensive cities in the world ? 
what,what 19th-century writer had a country estate on the hudson dubbed sunnyside ? 
unknown,how many layers of yellow paint is a faber mongol pencil lucky enough to be sprayed with ? 
what,what is a virtual ip address ? 
what,what was the name of the cook on rawhide ? 
what,what county is chicago in ? 
what,what is the wingspan of a condor ? 
what,what facial feature typically contains about 55 hairs ? 
who,"who was named admiral of the ocean seas and viceroy and governor general of all the islands he might discover , and also granted 10-? of all profits of his voyage . "
unknown,how can i transport files from one computer to another ? 
what,what 's the literary term for a play on words ? 
what,what color were their horses ? 
what,what does an average daycare provider get paid in new england ? 
what,what author landed a 468-pound marlin without harness in the early 193 's ? 
unknown,how many americans fought for the british in the american revolution ? 
what,what kind of education do i need to become a flight attendant ? 
what,what are the two languages of malta ? 
unknown,how many oceans are there and name them ? 
what,what happened during the blackhawk indian war of 1832 ? 
unknown,how many pairs of legs does a lobster have ? 
what,what does the latin ante mortem mean ? 
what,what does the name shawn mean ? 
unknown,where is the danube ? 
unknown,"what lawyer won the largest divorce settlement , $85 million , in u.s. history for sheika dena al-farri ? "
what,what do you call a group of geese ? 
who,"who delivered his last newscast on march 6 , 1981 ? "
unknown,"how many times has `` louie , louie '' been recorded ? "
unknown,how is answers.com different from knowpost.com ? 
what,what is the longest place name in the u.s. ? 
what,what percent liked thatcher after she had been in power for a decade ? 
unknown,"where does buzz aldrin want to build a permanent , manned space station ? "
what,what was mel gibson 's first movie ? 
unknown,why was the l.a. office of shea and gould closed ? 
unknown,how do i start a bank ? 
unknown,how do ouija boards work ? 
what,what horse did zorro ride ? 
unknown,how do you get a broken cork out of a bottle ? 
unknown,where can i find correct tabs for third eye blind songs ? 
unknown,how do you determine heating requirements for your home ? 
what,what former major-league left-handed baseball pitcher was known as `` space man '' ? 
unknown,"which hair care product told us `` hate that gray , wash it away '' ? "
unknown,why did the chicken cross the road ? 
what,what was michelangelo 's last name ? 
who,who is barbara jordan ? 
who,who was the democratic nominee in the american presidential election ? 
what,what was connecticut 's first constitution called ? 
what,what historical event happened in dogtown in 1899 ? 
what,what is being done about the millennium bug ? 
what,what was the claim to fame of king camp gillette ? 
what,what is the most common kind of skin cancer in the u.s. ? 
what,what is olestra ? 
what,what asian country has a bill of rights for cows ? 
unknown,how many fingers are used to draw a bow ? 
what,what are two plants that clothes are made from ? 
what,when was hurricane hugo ? 
what,what is the most heavily caffeinated soft drink ? 
what,what president-to-be was the first member of congress to enlist following the attack on pearl harbor ? 
what,what was the price of varian associates ' vacuum products division ? 
what,when was `` the great depression '' ? 
what,what language is mostly spoken in brazil ? 
what,what college produced the most winning super bowl quarterbacks ? 
unknown,how do you solve `` rubik 's cube '' ? 
what,what is prepared mustard ? 
what,what classical spanish writer warned : `` all that glitters is not gold '' ? 
what,what does `` antidisestablishmentarianism '' mean ? 
what,what actor married john f. kennedy 's sister ? 
what,what does a topophobic actor suffer from ? 
who,who fired maria ybarra from her position in san diego council ? 
unknown,"the italian artist , maurizio pellegrin , is how old ? "
what,what type of hunting are retrievers used for ? 
what,what is colin powell best known for ? 
who,who was the first black golfer to tee off in the masters ? 
what,what city is the setting for puccini 's opera la boheme ? 
what,what u.s. president showed a fondness for munching on bee pollen bars ? 
what,what is measured in curies ? 
unknown,whose cover is that of an employee of universal import and export ? 
what,what former president 's daughter has written a book titled murder in the white house ? 
what,what fictional character is known as the `` melancholy dane '' ? 
what,italy is the largest producer of what ? 
what,what longtime game show host dropped dead while jogging in central park in 1984 ? 
what,"what is the meaning of w.b. yeat 's poem , `` the three hermits ? "
who,who were the `` filthiest people alive ? 
what,what infectious disease is the world 's deadliest ? 
what,what is spumante ? 
what,in what year did ireland elect its first woman president ? 
what,what is an isthmus ? 
what,what was the name of the orca that died of a fungal infection ? 
unknown,where is mozambique located ? 
what,what is mississippi 's state animal ? 
what,what 's the origin of the word ` news ' ? 
what,what did dan aykroyd and john belushi quit saturday night live to become ? 
unknown,how many months does a normal human pregnancy last ? 
unknown,how do fuel injectors work ? 
unknown,how can your school march in the macy 's thanksgiving parade ? 
what,what is the real name of disc jockey `` wolfman jack '' ? 
what,what italian liner was hijacked in 1985 ? 
what,what city houses the u.s. headquarters of procter and gamble ? 
what,what soap was touted as being `` for people who like people '' ? 
unknown,how much was the minimum wage in 1991 ? 
what,what does nafta stand for ? 
who,who invented silly putty ? 
what,"what new middle school was built in philadelphia , pennsylvania last year ? "
who,who patented the first phonograph ? 
what,what are some tips for building a fire in a fireplace ? 
what,what do manatees eat ? 
unknown,how do you say 2 in latin ? 
what,what were popular songs and types of songs in the 1920s ? 
unknown,how many vietnamese were there in the soviet union ? 
what,what is november 's birthstone ? 
what,what is a certified nurse midwife ? 
unknown,"on average , how many miles are there to the moon ? "
who,who created private detective philip marlowe ? 
what,"what boris pasternak book sold 5 , 0 copies to become the fiction best-seller of 1958 ? "
what,what is the origin of the expression `` tout de suite '' ? 
what,what is the longest english word ? 
what,what is the purpose of a car bra ? 
what,what is d.b. cooper known for ? 
who,who is colin powell ? 
what,what species is a colt ? 
what,what is the full name of the plo ? 
what,what is the smallest country in africa ? 
who,who coined the term nn cyberspace `` in his novel nn neuromancer '' ? 
what,what age followed the bronze age ? 
what,what is her profession ? 
what,what is the full name of the man who invented the multicolored game cube that has 42.3 quintillion potential combinations ? 
what,what does the word laser mean ? 
what,what does the name `` anthony '' mean ? 
who,who was lauren bacall 's first husband ? 
what,what is a rhomboideus minor ? 
unknown,how many hands does bjorn borg use when hitting his forehand ? 
unknown,how many people died on d-day ? 
what,"what u.s. congressman said : `` keep the faith , baby '' . "
who,who created the character of scrooge ? 
what,what is the student population at the university of massachusetts in amherst ? 
unknown,where is windsor castle ? 
when,when did the dow first reach ? 
unknown,why were people recruited for the vietnam war ? 
what,what party was winston churchill a member of ? 
what,what american league baseball team 's worst finish between 1926 and 1964 was fourth ? 
unknown,where can i find the names of all the 15 pokemon ? 
what,what state does martha stewart live in ? 
unknown,which killer whale died at sea world of a fungal infection ? 
what,what are the benelux countries ? 
unknown,where 's the petrified forest ? 
what,what is a language spoken by the sioux ? 
unknown,where is tornado alley ? 
who,who was the author of `` john brown 's body '' ? 
what,what american poet wrote : `` good fences make good neighbors '' ? 
what,what state in the u.s. has the most blacks ? 
unknown,why are electric cars less efficient in the northeast than in california ? 
what,what was the occupation of mandy rice-davies ? 
what,what is the city in which maurizio pellegrin lives called ? 
who,who painted the sistine chapel ? 
unknown,name the various costumed personas of dr. henry pym . 
what,what breed of dog was the `` little rascals '' dog ? 
what,what are the living conditions in cuba ? 
what,what color are school buses ? 
what,what is the oldest website on the internet ? 
what,"what events happened january 26 , 1978 ? "
what,what explorers followed columbus to the americas ? 
who,who is actress goldie hawn 's current actor boyfriend ? 
who,who banned peter rose from baseball for betting on games ? 
what,what are the seven virtues ? 
what,what other name were the `` little rascals '' known as ? 
when,when was the san francisco fire ? 
what,what is a fear of food ? 
unknown,"how many casinos are in atlantic city , nj ? "
what,what year did the vietnam war end ? 
what,what are the names of richard nixon 's two daughters ? 
what,what 's the word for broken glass or sharp rocks embedded in cement on top of a wall ? 
what,what is the chromosome number of an elephant ? 
what,what organization was founded by the rev. jerry falwell ? 
what,what 's the longest river in the world ? 
unknown,which soft drink does madonna advertise for ? 
what,what company is being bought by yahoo and how much is the deal worth ? 
when,when was berlin 's brandenburg gate erected ? 
unknown,how many double-word-score spaces are there on a scrabble crossword game board ? 
what,what year did germany sign its nonaggression pact with the soviet union ? 
what,what mountain range is traversed by the highest railroad in the world ? 
unknown,why were the american soldiers in wwi called `` doughboys '' 
who,who was nicknamed the little corporal ? 
unknown,how many cds has garth brooks sold ? 
unknown,name the vessel used by the atari force in the dc comics . 
unknown,where are the leading medical groups specializing in lung diseases ? 
unknown,"how can i find online spelling , and punctuation drills for my 6th grader ? "
what,what 's the sacred river of india ? 
what,what is stefan edberg 's native country ? 
what,what is the only gland in humans that can regenerate itself ? 
unknown,how many gutenberg bibles are there ? 
unknown,name the largest country in south america . 
what,what astronomical phenomenon takes place in jan. 1999 ? 
what,what information can you get me on fairground park in st. louis 
what,what was american folk hero john chapman 's nickname ? 
what,what is the difference between a median and a mean ? 
what,what was the top box office movie in april 1998 ? 
what,what makes thunder ? 
what,what author did photographer yousuf karsh call `` the shiest man i ever met '' ? 
unknown,"which is the largest clock , diameter wise , in europe ? "
what,what plant is rum made from ? 
what,what country are godiva chocolates from ? 
unknown,"name the poet of the poem which begins : i do not know much about gods ; but i think that the river is a strong brown god-sullen , and untamed ? "
unknown,which condiment was once sold as a patent medicine ? 
what,what u.s. state records the least rainfall ? 
unknown,why did the world enter a global depression in 1929 ? 
what,"what was archy , and mehitabel ? "
what,what texas city got its name from the spanish for `` yellow '' ? 
what,what are the chemicals used in glowsticks ? 
what,what country did the nile river originate in ? 
what,what color are tennis balls ? 
what,what barroom judge called himself the law west of the pecos ? 
what,what excuse did the nato people give for hitting the chinese embassy ? 
who,who was president of costa rica in 1994 ? 
what,what sports event is meyer wolfsheim supposed to have fixed in the great gatsby ? 
what,what country has the best defensive position in the board game diplomacy ? 
what,what two countries share the khyber pass ? 
who,who was chairman of the senate select committee that tried to get to the bottom of watergate ? 
what,what is the origin of the surname of braun ? 
what,"what card game has variations called canfield , klondike and spider ? "
what,what is australia day ? 
what,what mammal of north america is the world 's longest-lived for its size ? 
what,what was the chivington massacre ? 
what,"what actor starred in 1980 's blue lagoon , 1982 's the pirate movie and 1983 's a night in heaven ? "
unknown,how many home runs did lou gehrig have during his career ? 
what,in what city is the headquarters of sinn fein ? 
unknown,where can i find information on george bush ? 
who,who is the voice of miss piggy ? 
what,what is the dialogue circle in cartoons called ? 
what,"what does the word camaro mean , from the gm car the camaro ? "
who,who replaced bert parks as the host of the miss america pageant ? 
unknown,how many boys play the game in winslow homer 's 1872 painting snap the whip ? 
what,what is the aim-54c phoenix ? 
when,when are sheep shorn ? 
what,what sport is chris jogis a top player of ? 
what,what 's the second-largest island in the world ? 
what,what is the definition of low island ? 
what,what century does captain video live in ? 
what,what types of water pollution are there ? 
unknown,how many astronauts manned each project mercury flight ? 
what,what soft drink would provide me with the biggest intake of caffeine ? 
what,what 's the name of a golf course in myrtle beach ? 
what,what are some of the significant historical events of the 1990s ? 
unknown,name the only extant trilogy of classical greek plays . 
unknown,where is logan airport ? 
what,what is the difference between neoclassical art and romanticism art ? 
who,who was the first person inducted into the u.s. swimming hall of fame ? 
what,what golfer has been called ohio fats and blobbo ? 
who,who murdered leno and rosemary labianca on august 1 
what,what is the average cost for four years of medical school ? 
what,what does god create in the first sentence of the bible ? 
unknown,which of the following men was not married to rita hayworth ? 
what,what is the current ticket fare from from cairo to barbados ? 
what,what does nn o `` mean when used as a prefix in irish surnames ? 
unknown,how do you find oxidation numbers ? 
what,what is the state nickname of mississippi ? 
what,"what is black hills , south dakota most famous for ? "
what,what 1966 boob tube bomb took astronauts back to prehistoric times ? 
unknown,how many students attend the university of massachusetts ? 
who,"who said , `` i shall return . '' during world war two ? "
what,what holidays are celebrated in ireland ? 
who,"who portrayed etta place , companion to butch cassidey and the sundance kid ? "
what,what are the greek numerals ? 
what,what 's the name of the temple that is located near the capital city of laos ? 
what,what is a fear of sleep ? 
what,what auto race was wilbur reed the first to win three times ? 
what,what are the most common breeding birds in the u.s. ? 
what,"what was organized as a confederate veterans ' social club in pulaski , in tennessee , in 1866 ? "
unknown,how do you look up criminal records on the internet ? 
unknown,"where is the actress , marion davies , buried ? "
what,what is an example of an actual case of using the fourteenth amendment ? 
who,who was the charlie perfume woman ? 
who,who portrayed `` rosanne rosanna-dana '' on the television show `` saturday night live '' ? 
affirmation,is there a cab available for airport? 
affirmation,is it raining outside ? 
affirmation,is there any pizza left ? 
affirmation,is there a truck parked infront of the house ? 
when,what time does the flight leave ? 
when,what time does the train arrive ? 
when,what time do we go to the mall ? 
when,what time are we leaving ? 
when,what time does the president give his speech ? 
when,what time do you go to the school ? 
when,what time are you planning to leave ? 
when,what time are you thinking of going to the dentist ? 
when,what time is it right now ? 
who,who was gerald ford 's vice president ? 
who,who invented batteries ? 
who,who did sonny liston succeed as world heavyweight boxing champion ? 
unknown,whose video is titled shape up with arnold ? 
who,who 's the twin brother of the greek goddess artemis ? 
who,who was america 's first public enemy no. 1 ? 
who,who is dear abby ? 
who,"who lives at 24 sussex drive , ottawa ? "
who,who was monet ? 
who,who was the famous door-to-door brush salesman ? 
who,who is always trying to get the rent from andy capp ? 
who,who did jackie kennedy commission to write the death of a president ? 
who,who sought to create the great society ? 
who,who said : `` soldiers win the battles and generals get the credit '' ? 
who,who is the current un secretary general ? 
who,"who provides telephone service in orange county , california ? "
who,who was lacan ? 
who,who was the secretary of war in the civil war during the battle of gettysburg ? 
who,who did bobby fischer beat to win the world chess championship ? 
who,who lives at 39 stone canyon way ? 
who,who played humpty dumpty in the 1933 film alice in wonderland ? 
who,"who is karenna gore , al gore 's oldest daughter , married to ? "
who,who played the title role in i was a teenage werewolf ? 
who,who was the inventor of the stove ? 
who,who was the king who was forced to agree to the magna carta ? 
who,who was made the first honorary citizen of the u.s. ? 
who,who is known as `` the world 's oldest teenager '' ? 
who,who was with patricia hearst the night she was kidnaped ? 
who,who advised listeners to `` see the u.s.a. in your chevrolet '' ? 
who,who sang about desmond and molly jones ? 
who,who developed the first polio vaccine ? 
who,who made the first gas engine ? 
who,who sells viagra ? 
who,who was darius ? 
who,who did dita beard work for ? 
who,who served as inspiration for the schoolteacher portrayed by robin williams in `` dead poets society '' ? 
who,who is the best known villain of the 165 gunpowder plot ? 
who,"who killed more people , hitler or stalin ? "
who,who is nicolo paganini ? 
who,who portrayed dracula in hammer studios ' films ? 
who,who was jean nicolet ? 
who,who was the original humpty dumpty ? 
unknown,whose cupboard was bare ? 
who,who invented the vacuum cleaner ? 
who,"who does shakespeare 's antonio borrow 3 , 0 ducats from ? "
who,who is the voyager project manager ? 
who,who replies `` i know '' to princess leia 's confession `` i love you '' in the empire strikes back ? 
who,who won the 1967 academy award for best actor ? 
who,who was the first taiwanese president ? 
who,who is luke skywalker 's father ? 
who,who was jane goodall ? 
who,"who created the comic strip , `` garfield '' ? "
who,who is the current prime minister and president of russia ? 
who,who established a viking colony in greenland about 985 ? 
who,who shot and killed himself while painting wheatfield with crows ? 
who,who was the architect of central park ? 
who,who were the yankee 's frequent enemies ? 
who,who wrote sons and lovers ? 
who,who was the star of leave it to beaver ? 
who,who did richard nixon tender his resignation to ? 
who,who was thucydides ? 
who,who took over as conductor of the boston pops after arthur fiedler 's long reign ? 
who,who is the fastest guitarist ? 
who,who betrayed norway to the nazis ? 
who,who took the toys donated for the doodyville orphans ' fund and kept them for himself ? 
who,who were the picts ? 
who,who is stationed at camp swampy in the comic strips ? 
who,who wrote the look of love after viewing ursula andress ? 
who,who claims to have the greatest show on earth ? 
who,who invented the paper clip ? 
unknown,whom did lauren bacall marry after her husband humphrey bogart died ? 
who,"who created the fantastic four , hulk , and thor ? "
who,who is the composer of `` canon in d major '' ? 
who,who was the author of the novel `` far from the madding crowd '' ? 
who,who was camp david named for ? 
who,who portrayed `` the man without a face '' in the movie of the same name ? 
who,who won the first world series ? 
who,who is samuel pickering ? 
who,who was credited with saying : `` i never met a man i did n't like '' ? 
who,who created big ben ? 
who,who played the title role in my favorite martian ? 
who,who invented the game scrabble ? 
who,who is considered the first lady of the american stage ? 
who,who penned : `` neither a borrower nor a lender be '' ? 
who,who headed hitler 's infamous gestapo ? 
who,who made the musical plea be true to your school ? 
who,who made stonehenge ? 
who,who 's the founder and editor of the national review ? 
who,who was the first governor of west virginia ? 
who,who was the first woman to fly solo across the atlantic ? 
who,who started the dominos pizza chain ? 
who,"who is the famous movie star who also acted as sewer commissioner of provo canyon , utah ? "
who,who portrayed vincent van gogh in lust for life ? 
who,who was known as the time master in comic books ? 
who,who is the father of the computer ? 
who,who said : `` old soldiers never die ; they just fade away '' ? 
who,who 's the only man to have won the olympic decathlon twice ? 
who,who was the second man to walk on the moon ? 
who,who is the pope ? 
who,who is imam hussain ben ali whom shia people believe in ? 
who,who was william henry harrison ? 
who,who was the first black performer to have his own network tv show ? 
who,who directed the wild bunch ? 
who,who runs andy capp 's favorite pub ? 
who,who invented the game bowling ? 
who,who is the creator of `` the muppets '' ? 
who,who asked you to do the loco-motion with her in 1962 ? 
who,who made the first surfboard ? 
who,who is the greek god of the sea ? 
who,who was the first woman governor of wyoming ? 
who,who was charles lindbergh 's wife ? 
who,who sings angel eyes from the 80 's ? 
who,who wrote ` hamlet ' ? 
who,who was the russian ambassador to hungary during the 1956 uprising ? 
who,who holds the nfl record for most touchdowns in a season ? 
who,who is shirley maclaine ? 
who,who wrote ` the pines of rome ' ? 
who,"who played for the chicago bears , houston oilers and oakland raiders in a 26-year pro football career ? "
who,who leads the star ship enterprise in star trek ? 
who,who won world war ii ? 
who,who was garrett morgan married to ? 
who,who is ishmael in moby dick ? 
who,who was the conservationist who served as spokesperson for post grape nuts ? 
who,who was whitcomb judson ? 
who,who shoplifts ? 
unknown,whose image is alleged to be on the shroud of turin ? 
who,who said : `` the victor will never be asked if he told the truth '' ? 
who,who is langston hughes ? 
who,"who wrote the book , `` the grinch who stole christmas '' ? "
who,who seized power from milton obote in 1971 ? 
who,who is the prophet of medina ? 
unknown,"whose funeral train traveled from washington d.c. to springfield , illinois ? "
who,who is the queen of holland ? 
who,"who says , `` if you don 't look good , we don 't look good '' ? "
who,who was secretary of state during the nixon administration ? 
who,who is johnny carson ? 
who,who painted `` soft self-portrait with grilled bacon '' ? 
who,who killed caesar ? 
who,who is count cinzano ? 
who,who 's won the most oscars for costume design ? 
who,who wrote the red badge of courage ? 
who,who invented the road traffic cone ? 
who,who won the battle of gettysburg ? 
who,"who was the captain of the tanker , exxon valdez , involved in the oil spill in prince william sound , alaska , 1989 ? "
who,who is stephen hawking ? 
who,what actor came to dinner in guess who 's coming to dinner ? 
who,who was the first actress to appear on a postage stamp ? 
who,who was the first black woman to star in the folies bergeres ? 
who,who asked the musical question : `` have you ever been to electric lady land ? 
who,who wrote : `` poems are made by fools like me but only god can make a tree '' ? 
who,"who played the part of the godfather in the movie , ` the godfather ' ? "
who,who invented the wonderbra ? 
who,who owns the st. louis rams ? 
who,who made the most appearances in the center square on hollywood squares ? 
who,who said `` the only thing we have to fear is fear itself '' ? 
who,who is the sexiest women in the world ? 
who,who was the supreme god of germanic religion ? 
who,who 's played the most games for the new york yankees ? 
who,who won the superbowl in ? 
who,who directed citizen kane ? 
unknown,"whose special bear 's creator was born on january 18 , 1779 ? "
who,who said : `` what contemptible scoundrel stole the cork from my lunch ? '' 
who,who was the author of the famous fairy tale `` snow white and seven dwarfs '' ? 
who,who is behind the name of the harvey wallbanger drink ? 
who,who is the premier of china ? 
who,who was the president of vichy france ? 
unknown,whose kidnaping was termed the crime of the century ? 
who,who first broke the sound barrier ? 
who,who was scrooge 's dead partner in dickens 's a christmas carol ? 
who,who recorded the 1957 hit tammy ? 
who,who is mia farrow 's mother ? 
who,who was the only president to serve two nonconsecutive terms ? 
who,who reports the weather on the `` good morning america '' television show ? 
who,"who sent the brief message `` i came , i saw , i conquered '' ? "
who,who are the nomadic hunting and gathering tribe of the kalahari desert in africa ? 
who,who won a pulitzer prize for his novel the caine mutiny ? 
who,who portrayed sherlock holmes in 14 films between 1939 and 1946 ? 
who,who claimed to be the world 's most perfectly-developed man ? 
who,who portrayed carl bernstein in all the president 's men ? 
who,who was tiny tim 's father ? 
who,who was bonnie blue butler 's father ? 
who,who is the antichrist ? 
who,who was the lawyer who represented randy steven craft ? 
who,who wrote the farmer 's almanac ? 
who,who was the 15th century fire-and-brimstone monk who gained control of florence but ended burnt at the stake ? 
who,who was quetzalcoatl ? 
who,who is the prime minister of japan ? 
who,"who wrote the book , `` song of solomon '' ? "
who,who is the president of the spanish government ? 
who,who holds the career record for the most major league home runs ? 
who,who invented the stethoscope ? 
who,who retired with 755 home runs to his credit ? 
who,who developed potlatch ? 
who,who is the actress bette davis once said she wished she looked like ? 
when,when did iraqi troops invade kuwait ? 
when,when was the slinky invented ? 
when,when was dick clark born ? 
when,when did the `` star-spangled banner '' become the national anthem ? 
when,when did israel begin turning the gaza strip and jericho over to the plo ? 
when,when were the olympic games in which nadia comaneci became popular played ? 
when,when did fraze get his first patent for the pull-tab can ? 
when,when was the triangle shirtwaist fire ? 
when,when were fish first believed to be found on earth ? 
when,when is president nixon 's birthday ? 
when,when will the millennium officially begin ? 
when,when was cnn 's first broadcast ? 
when,when were camcorders introduced in malaysia ? 
when,when was queen victoria born ? 
when,when was yemen reunified ? 
when,"when did aldous huxley write , `` brave new world '' ? "
when,"when the tutankhamun exhibit was on display in the u.s. , what moving company transported it ? "
when,when did humans first begin to write history seriously ? 
when,"when mighty mouse was conceived , what was his original name ? "
when,when was the first flush toilet invented ? 
when,when will jean aeul publish her next book ? 
when,"when it 's time to relax , what one beer stands clear ? "
when,when was the de beers company founded ? 
when,when did princess diana and prince charles get married ? 
when,when was the first barbie produced ? 
when,when did the jurassic period end ? 
when,when was the bill of rights ratified ? 
when,when was calypso music invented ? 
when,when did hitler come to power in germany ? 
when,when did gothic art and architecture flourish ? 
when,when was the internal combustion engine developed ? 
when,when do you plant winter wheat ? 
when,when did nostradamus believe world war iii would begin ? 
when,when was london 's docklands light railway constructed ? 
when,when do mormons believe christ was born ? 
when,when did theo rousseau paint the `` forest of fontaine '' ? 
when,when is the thai new year ? 
when,when was the g7 group of nations formed ? 
when,when did they canonize the bible ? 
when,when did the carolingian period begin ? 
when,"when superman needs to get away from it all , where does he go ? "
when,when did spain and korea start ambassadorial relations ? 
when,when did nixon die ? 
when,when is a woman most fertile ? 
when,when was the nfl established ? 
when,when was richard nixon born ? 
when,when is the sun closest to the earth ? 
when,when did amtrak begin operations ? 
when,when was john d. rockefeller born ? 
when,when was the congress of vienna ? 
when,when was franklin d. roosevelt stricken with polio ? 
when,what singer 's theme song was when the moon comes over the mountain ? 
when,when was the brandenburg gate in berlin built ? 
when,when did mount st. helens last erupt ? 
when,when was child labor abolished ? 
when,when was the hoover dam constructed ? 
when,"when not adventuring on rann , what does adam strange call his profession ? "
when,when was the first practical commercial typewriter marketed ? 
when,when did the chernobyl nuclear accident occur ? 
when,when was general manuel noriega ousted as the leader of panama and turned over to u.s. authorities ? 
when,when did thatcher become prime minister ? 
when,when was florida admitted into the union ? 
who,who portrayed the cowardly lion in the wizard of oz ? 
who,who was the first king of england ? 
who,who killed kurt cobain ? 
who,who created the monster in mary shelley 's novel frankenstein ? 
who,who was the first man to return to space ? 
who,who gave abbie hoffman his first dose of lsd ? 
who,who shot billy the kid ? 
who,who played sally rogers on the dick van dyke show ? 
who,who is the mathematician that won the noble prize for literature in 1950 ? 
who,who 's baby was sweet pea on the popeye cartoon ? 
who,"who did arthur h. bremer try to assassinate on may 15 , 1972 ? "
unknown,whom did friz freleng add to the warner bros. cartoon ranks ? 
who,who was shakespeare 's moorish general ? 
who,who taught matt murdock to use his extraordinary abilities in marvel comics ? 
who,who famously rode to warn the people of massachusetts that the british were coming ? 
who,who commanded the french forces at the battle of orleans ? 
who,who led the opposition when konrad adenauer was chancellor in germany ? 
who,who turned all he touched to gold ? 
who,who plays shortstop for charlie brown 's baseball team ? 
who,who was the most famous food editor of the new york times ? 
who,who was the last u.s. president to reinstate selective service registration ? 
who,who lived on the shores of the gitchee gumee river ? 
who,who is section manager for guidance and control systems at jpl ? 
who,who should i call to get a tour of the new york stock exchange ? 
who,who portrayed w.c. fields in the film w.c. fields and me ? 
who,who built the first successful stern wheel steamboat ? 
who,who was hitler 's minister of propaganda ? 
who,who was the first doctor to successfully transplant a liver ? 
who,who was the lawyer for randy steven craft ? 
who,who is reputed to be the greatest maker of violins ? 
who,who sued the dannon yougurt company for using a character named ron raider for promotion ? 
who,who was the first jockey to ride two triple crown winners ? 
who,who wrote brave new world ? 
who,who wrote unsafe at any speed ? 
who,"who created the world wide web , www ? "
who,who were leaders of the byzantine empire ? 
who,who was the first president to appoint a woman to head a cabinet ? 
who,who built the first pyramid ? 
who,who is the nebbish that is marvel 's official mascot ? 
who,who sang the song `` hooked on a feeling '' in the dancing baby episode of `` ally mcbeal '' ? 
who,"who was the columbia pictures head who forged actor cliff robertson 's name on a $1 , 000 check ? "
who,who was damocles ? 
unknown,whose biography by maurice zolotow is titled shooting star ? 
who,who was the first american citizen awarded the albert medal of the society of arts ? 
who,who founded the unification church ? 
who,who invented the lawnmower ? 
who,who shared a new york city apartment with roger maris the year he hit 61 home runs ? 
who,who is the director of intergovernmental affairs for the san diego county ? 
who,who directed the first woody woodpecker cartoon ? 
who,who killed lee harvey oswald ? 
who,who was red grange ? 
who,who invented the fax machine ? 
