Category,Question
what,what did richard feynman say upon hearing he would receive the nobel prize in physics ?
unknown,"in what sport are these following numbers relevant : 118 , 126 , 134 , 142 , 15 , 158 , 167 , 177 , and 19 ?"
who,who were the four famous founders of united artists ?
what,what 2 statues did france give to other countries ?
what,what are amphibians ?
unknown,how many sperm cells are in an average ejaculation ?
unknown,name the disposable razor that `` costs about 19 cents . ''
unknown,how far do you have to run if you hit a home run ?
who,who was the only u.s. president to wear a nazi uniform ?
what,woodrow wilson served as president of what university ?
unknown,where are the tropical rain forest distributions ?
what,what 's the nickname of oddsmaker jimmy snyder ?
what,what is the fear of being loved ?
what,what was the number of people that randy steven craft was convicted of killing ?
what,what was queen victoria 's title regarding india ?
unknown,how is a hydrogen bomb different from a nuclear bomb ?
unknown,how far can a man travel in outer space ?
unknown,where was lincoln assassinated ?
what,what type of food makes you fat ?
what,what is the name of the chronic neurological autoimmune disease which attacks the protein sheath that surrounds nerve cells causing a gradual loss of movement in the body ?
what,what was the u.s. highway death toll in 1969 ?
what,"what kind of animals are dorsets , lincolns , oxfords and southdowns ?"
what,what are the shortest and the longest songs ever produced ?
what,what letter is to the right of k on a typewriter keyboard ?
what,"what is the origin and the meaning of the name , `` hajo ? ''"
what,what is the plural of gulf ?
unknown,whose autobiography is titled yes i can ?
what,what year did the united states pass the copyright law ?
what,what percentage of americans own their homes ?
what,what 's the first day of the week ?
what,what city was president william mckinley shot in ?
what,what city has the world 's longest subway system ?
who,"who claimed he killed 4 , 280 buffalo as food for the crew building the kansas pacific railway ?"
what,what is bombay duck ?
unknown,how many degrees cooler is the inside of a cucumber than the air outside ?
what,what double talking `` professor '' holds a doctorate in nothing ?
what,what are the five most expensive cities in the world ?
what,what 19th-century writer had a country estate on the hudson dubbed sunnyside ?
unknown,how many layers of yellow paint is a faber mongol pencil lucky enough to be sprayed with ?
what,what is a virtual ip address ?
what,what was the name of the cook on rawhide ?
what,what county is chicago in ?
what,what is the wingspan of a condor ?
what,what facial feature typically contains about 55 hairs ?
who,"who was named admiral of the ocean seas and viceroy and governor general of all the islands he might discover , and also granted 10-?? of all profits of his voyage ."
unknown,how can i transport files from one computer to another ?
what,what 's the literary term for a play on words ?
what,what color were their horses ?
what,what does an average daycare provider get paid in new england ?
what,what author landed a 468-pound marlin without harness in the early 193 's ?
unknown,how many americans fought for the british in the american revolution ?
what,what kind of education do i need to become a flight attendant ?
what,what are the two languages of malta ?
unknown,how many oceans are there and name them ?
what,what happened during the blackhawk indian war of 1832 ?
unknown,how many pairs of legs does a lobster have ?
what,what does the latin ante mortem mean ?
what,what does the name shawn mean ?
unknown,where is the danube ?
unknown,"what lawyer won the largest divorce settlement , $85 million , in u.s. history for sheika dena al-farri ?"
what,what do you call a group of geese ?
who,"who delivered his last newscast on march 6 , 1981 ?"
unknown,"how many times has `` louie , louie '' been recorded ?"
unknown,how is answers.com different from knowpost.com ?
what,what is the longest place name in the u.s. ?
what,what percent liked thatcher after she had been in power for a decade ?
unknown,"where does buzz aldrin want to build a permanent , manned space station ?"
what,what was mel gibson 's first movie ?
unknown,why was the l.a. office of shea and gould closed ?
unknown,how do i start a bank ?
unknown,how do ouija boards work ?
what,what horse did zorro ride ?
unknown,how do you get a broken cork out of a bottle ?
unknown,where can i find correct tabs for third eye blind songs ?
unknown,how do you determine heating requirements for your home ?
what,what former major-league left-handed baseball pitcher was known as `` space man '' ?
unknown,"which hair care product told us `` hate that gray , wash it away '' ?"
unknown,why did the chicken cross the road ?
what,what was michelangelo 's last name ?
who,who is barbara jordan ?
who,who was the democratic nominee in the american presidential election ?
what,what was connecticut 's first constitution called ?
what,what historical event happened in dogtown in 1899 ?
what,what is being done about the millennium bug ?
what,what was the claim to fame of king camp gillette ?
what,what is the most common kind of skin cancer in the u.s. ?
what,what is olestra ?
what,what asian country has a bill of rights for cows ?
unknown,how many fingers are used to draw a bow ?
what,what are two plants that clothes are made from ?
what,when was hurricane hugo ?
what,what is the most heavily caffeinated soft drink ?
what,what president-to-be was the first member of congress to enlist following the attack on pearl harbor ?
what,what was the price of varian associates ' vacuum products division ?
what,when was `` the great depression '' ?
what,what language is mostly spoken in brazil ?
what,what college produced the most winning super bowl quarterbacks ?
unknown,how do you solve `` rubik 's cube '' ?
what,what is prepared mustard ?
what,what classical spanish writer warned : `` all that glitters is not gold '' ?
what,what does `` antidisestablishmentarianism '' mean ?
what,what actor married john f. kennedy 's sister ?
what,what does a topophobic actor suffer from ?
who,who fired maria ybarra from her position in san diego council ?
unknown,"the italian artist , maurizio pellegrin , is how old ?"
what,what type of hunting are retrievers used for ?
what,what is colin powell best known for ?
who,who was the first black golfer to tee off in the masters ?
what,what city is the setting for puccini 's opera la boheme ?
what,what u.s. president showed a fondness for munching on bee pollen bars ?
what,what is measured in curies ?
unknown,whose cover is that of an employee of universal import and export ?
what,what former president 's daughter has written a book titled murder in the white house ?
what,what fictional character is known as the `` melancholy dane '' ?
what,italy is the largest producer of what ?
what,what longtime game show host dropped dead while jogging in central park in 1984 ?
what,"what is the meaning of w.b. yeat 's poem , `` the three hermits ? ''"
who,who were the `` filthiest people alive ? ''
what,what infectious disease is the world 's deadliest ?
what,what is spumante ?
what,in what year did ireland elect its first woman president ?
what,what is an isthmus ?
what,what was the name of the orca that died of a fungal infection ?
unknown,where is mozambique located ?
what,what is mississippi 's state animal ?
what,what 's the origin of the word ` news ' ?
what,what did dan aykroyd and john belushi quit saturday night live to become ?
unknown,how many months does a normal human pregnancy last ?
unknown,how do fuel injectors work ?
unknown,how can your school march in the macy 's thanksgiving parade ?
what,what is the real name of disc jockey `` wolfman jack '' ?
what,what italian liner was hijacked in 1985 ?
what,what city houses the u.s. headquarters of procter and gamble ?
what,what soap was touted as being `` for people who like people '' ?
unknown,how much was the minimum wage in 1991 ?
what,what does nafta stand for ?
who,who invented silly putty ?
what,"what new middle school was built in philadelphia , pennsylvania last year ?"
who,who patented the first phonograph ?
what,what are some tips for building a fire in a fireplace ?
what,what do manatees eat ?
unknown,how do you say 2 in latin ?
what,what were popular songs and types of songs in the 1920s ?
unknown,how many vietnamese were there in the soviet union ?
what,what is november 's birthstone ?
what,what is a certified nurse midwife ?
unknown,"on average , how many miles are there to the moon ?"
who,who created private detective philip marlowe ?
what,"what boris pasternak book sold 5 , 0 copies to become the fiction best-seller of 1958 ?"
what,what is the origin of the expression `` tout de suite '' ?
what,what is the longest english word ?
what,what is the purpose of a car bra ?
what,what is d.b. cooper known for ?
who,who is colin powell ?
what,what species is a colt ?
what,what is the full name of the plo ?
what,what is the smallest country in africa ?
who,who coined the term nn cyberspace `` in his novel nn neuromancer '' ?
what,what age followed the bronze age ?
what,what is her profession ?
what,what is the full name of the man who invented the multicolored game cube that has 42.3 quintillion potential combinations ?
what,what does the word laser mean ?
what,what does the name `` anthony '' mean ?
who,who was lauren bacall 's first husband ?
what,what is a rhomboideus minor ?
unknown,how many hands does bjorn borg use when hitting his forehand ?
unknown,how many people died on d-day ?
what,"what u.s. congressman said : `` keep the faith , baby '' ."
who,who created the character of scrooge ?
what,what is the student population at the university of massachusetts in amherst ?
unknown,where is windsor castle ?
when,when did the dow first reach ?
unknown,why were people recruited for the vietnam war ?
what,what party was winston churchill a member of ?
what,what american league baseball team 's worst finish between 1926 and 1964 was fourth ?
unknown,where can i find the names of all the 15 pokemon ?
what,what state does martha stewart live in ?
unknown,which killer whale died at sea world of a fungal infection ?
what,what are the benelux countries ?
unknown,where 's the petrified forest ?
what,what is a language spoken by the sioux ?
unknown,where is tornado alley ?
who,who was the author of `` john brown 's body '' ?
what,what american poet wrote : `` good fences make good neighbors '' ?
what,what state in the u.s. has the most blacks ?
unknown,why are electric cars less efficient in the northeast than in california ?
what,what was the occupation of mandy rice-davies ?
what,what is the city in which maurizio pellegrin lives called ?
who,who painted the sistine chapel ?
unknown,name the various costumed personas of dr. henry pym .
what,what breed of dog was the `` little rascals '' dog ?
what,what are the living conditions in cuba ?
what,what color are school buses ?
what,what is the oldest website on the internet ?
what,"what events happened january 26 , 1978 ?"
what,what explorers followed columbus to the americas ?
who,who is actress goldie hawn 's current actor boyfriend ?
who,who banned peter rose from baseball for betting on games ?
what,what are the seven virtues ?
what,what other name were the `` little rascals '' known as ?
when,when was the san francisco fire ?
what,what is a fear of food ?
unknown,"how many casinos are in atlantic city , nj ?"
what,what year did the vietnam war end ?
what,what are the names of richard nixon 's two daughters ?
what,what 's the word for broken glass or sharp rocks embedded in cement on top of a wall ?
what,what is the chromosome number of an elephant ?
what,what organization was founded by the rev. jerry falwell ?
what,what 's the longest river in the world ?
unknown,which soft drink does madonna advertise for ?
unknown,what company is being bought by yahoo and how much is the deal worth ?
when,when was berlin 's brandenburg gate erected ?
unknown,how many double-word-score spaces are there on a scrabble crossword game board ?
what,what year did germany sign its nonaggression pact with the soviet union ?
what,what mountain range is traversed by the highest railroad in the world ?
unknown,why were the american soldiers in wwi called `` doughboys ''
who,who was nicknamed the little corporal ?
unknown,how many cds has garth brooks sold ?
unknown,name the vessel used by the atari force in the dc comics .
unknown,where are the leading medical groups specializing in lung diseases ?
unknown,"how can i find online spelling , and punctuation drills for my 6th grader ?"
what,what 's the sacred river of india ?
what,what is stefan edberg 's native country ?
what,what is the only gland in humans that can regenerate itself ?
unknown,how many gutenberg bibles are there ?
unknown,name the largest country in south america .
what,what astronomical phenomenon takes place in jan. 1999 ?
what,what information can you get me on fairground park in st. louis
what,what was american folk hero john chapman 's nickname ?
what,what is the difference between a median and a mean ?
what,what was the top box office movie in april 1998 ?
what,what makes thunder ?
what,what author did photographer yousuf karsh call `` the shiest man i ever met '' ?
unknown,"which is the largest clock , diameter wise , in europe ?"
what,what plant is rum made from ?
what,what country are godiva chocolates from ?
unknown,"name the poet of the poem which begins : i do not know much about gods ; but i think that the river is a strong brown god-sullen , and untamed ?"
unknown,which condiment was once sold as a patent medicine ?
what,what u.s. state records the least rainfall ?
unknown,why did the world enter a global depression in 1929 ?
what,"what was archy , and mehitabel ?"
what,what texas city got its name from the spanish for `` yellow '' ?
what,what are the chemicals used in glowsticks ?
what,what country did the nile river originate in ?
what,what color are tennis balls ?
what,what barroom judge called himself the law west of the pecos ?
what,what excuse did the nato people give for hitting the chinese embassy ?
who,who was president of costa rica in 1994 ?
what,what sports event is meyer wolfsheim supposed to have fixed in the great gatsby ?
what,what country has the best defensive position in the board game diplomacy ?
what,what two countries share the khyber pass ?
who,who was chairman of the senate select committee that tried to get to the bottom of watergate ?
what,what is the origin of the surname of braun ?
what,"what card game has variations called canfield , klondike and spider ?"
what,what is australia day ?
what,what mammal of north america is the world 's longest-lived for its size ?
what,what was the chivington massacre ?
what,"what actor starred in 1980 's blue lagoon , 1982 's the pirate movie and 1983 's a night in heaven ?"
unknown,how many home runs did lou gehrig have during his career ?
what,in what city is the headquarters of sinn fein ?
unknown,where can i find information on george bush ?
who,who is the voice of miss piggy ?
what,what is the dialogue circle in cartoons called ?
what,"what does the word camaro mean , from the gm car the camaro ?"
who,who replaced bert parks as the host of the miss america pageant ?
unknown,how many boys play the game in winslow homer 's 1872 painting snap the whip ?
what,what is the aim-54c phoenix ?
when,when are sheep shorn ?
what,what sport is chris jogis a top player of ?
what,what 's the second-largest island in the world ?
what,what is the definition of low island ?
what,what century does captain video live in ?
what,what types of water pollution are there ?
unknown,how many astronauts manned each project mercury flight ?
what,what soft drink would provide me with the biggest intake of caffeine ?
what,what 's the name of a golf course in myrtle beach ?
what,what are some of the significant historical events of the 1990s ?
unknown,name the only extant trilogy of classical greek plays .
unknown,where is logan airport ?
what,what is the difference between neoclassical art and romanticism art ?
who,who was the first person inducted into the u.s. swimming hall of fame ?
what,what golfer has been called ohio fats and blobbo ?
who,who murdered leno and rosemary labianca on august 1
what,what is the average cost for four years of medical school ?
what,what does god create in the first sentence of the bible ?
unknown,which of the following men was not married to rita hayworth ?
what,what is the current ticket fare from from cairo to barbados ?
what,what does nn o `` mean when used as a prefix in irish surnames ?
unknown,how do you find oxidation numbers ?
what,what is the state nickname of mississippi ?
what,"what is black hills , south dakota most famous for ?"
what,what 1966 boob tube bomb took astronauts back to prehistoric times ?
unknown,how many students attend the university of massachusetts ?
who,"who said , `` i shall return . '' during world war two ?"
what,what holidays are celebrated in ireland ?
who,"who portrayed etta place , companion to butch cassidey and the sundance kid ?"
what,what are the greek numerals ?
what,what 's the name of the temple that is located near the capital city of laos ?
what,what is a fear of sleep ?
what,what auto race was wilbur reed the first to win three times ?
what,what are the most common breeding birds in the u.s. ?
what,"what was organized as a confederate veterans ' social club in pulaski , in tennessee , in 1866 ?"
unknown,how do you look up criminal records on the internet ?
unknown,"where is the actress , marion davies , buried ?"
what,what is an example of an actual case of using the fourteenth amendment ?
who,who was the charlie perfume woman ?
who,who portrayed `` rosanne rosanna-dana '' on the television show `` saturday night live '' ?
what,"what singer became despondent over the death of freddie prinze , quit show business , and then quit the business ?"
when,when did iraqi troops invade kuwait ?
what,what was mark johnson referring to when he said : `` i still can 't believe it- we beat the russians ? ''
what,what car was driven in the 199 release of `` smokey and the bandit '' ?
what,what was the backup singing group for roy rogers ?
what,what famous singing cowboy owns the california angels baseball team ?
what,what 1915 film was the first to gross $5 million ?
unknown,where did the term `` 86 '' come from ?
what,what causes someone to be ticklish ?
what,what is the probability that at least 2 out of 25 people will have the same birthday ?
unknown,how many canadians emmigrate each year ?
unknown,why did several san diego schools remove apples from students menus ?
what,what musical instrument did sherlock holmes play ?
who,who was gerald ford 's vice president ?
what,what is `` the washed vodka '' ?
unknown,how many different languages are spoken in europe ?
what,what year was desmond mpilo tutu awarded the nobel peace prize ?
what,what 's a `` drinker respirator '' better known as ?
who,who invented batteries ?
when,why do recipe books recommend starting with cold water when you boil something ?
unknown,where can i buy a good snowboard for less than $200 ?
what,what title did suzette charles assume for two months in 1984 ?
what,what was the infamous pseudonym of peter sutcliffe ?
what,what is smokey the bear 's middle name ?
unknown,what is nicholas cage 's occupation ?
what,what british tv series featured emma peel ?
what,what london street is the home of british journalism ?
what,what tragedy befell the city of dogtown in 1899 ?
what,what is the immaculate conception ?
what,what are the names of all the u.s. navy aircraft carriers ?
what,what format was vhs 's main competition ?
what,what is candlemas day ?
what,in what city is the famed st. mark 's square ?
what,what does the ouarterly review of doublespeak call an `` inoperative statement '' ?
unknown,how much did the minimum wage amount to in 1991 ?
unknown,where is tufts university ?
what,what is a pyrotechnic display ?
unknown,how do i find out about jobs ?
what,what japanese manufacturer is known for both its pianos and its motorcycles ?
what,what is the chemical reactivity of argon ?
unknown,how many engines does a boeing 737 have ?
what,what is the origin of the term `` the brooklyn side '' in bowling ?
what,what is a fear of being cold ?
unknown,how long was mao 's 1930s long march ?
what,what net game sees its women 's world amateur champions receive the uber cup ?
what,what four-legged creature did a cornell university study say would make man 's best companion in space ?
what,what does a teaspoon of matter weigh in a black hole ?
what,"what did british companies stick 175 , 0 tons of tea into in 1982 ?"
what,what province is edmonton located in ?
unknown,how can i find out how much income tax is paid on social security income on the 1998 income tax ?
who,who did sonny liston succeed as world heavyweight boxing champion ?
what,what is california 's state bird ?
what,what is martin luther king jr. 's real birthday ?
unknown,name the various super-teams to which the angel has belonged .
unknown,how does zatanna perform her magic in dc comics ?
what,what 's the name of jacques cousteau 's research ship ?
what,what president dispatched a cruiser to carry charles lindbergh home after his epic flight ?
unknown,whose video is titled shape up with arnold ?
unknown,in which kevin costner movie did sioux indians play a role ?
unknown,how many james bond novels are there ?
unknown,how do you get dates with the `` hooters '' girls ?
what,what bird can swim but can 't fly ?
unknown,how can i get a comic character i made copyrighted and published ?
unknown,how large is the arctic refuge to preserve unique wildlife and wilderness value on alaska 's north coast ?
what,what is plc ?
unknown,how much electricity does the brain need to work ?
unknown,how many acres in a mile ?
what,what dickens novel has david carrying the message `` barkis is willin '' to peggy ?
what,what is a hyperlink ?
who,who 's the twin brother of the greek goddess artemis ?
unknown,where did marijuana come from ?
what,"what is the per-capita income of colombia , south america , ?"
what,what novel has big brother watching ?
unknown,how many grammys did michael jackson win in 1983 ?
what,what does elysium mean ?
what,what is the oldest website on the internet ?
what,what is shalom ?
what,what was the favorite sport of tom wolfe 's the pump house gang ?
what,what organic fuel do bog-dwellers use a `` slane '' to cut ?
what,what is the average age of a member of the team that worked on the manhatten project ?
what,what country received all the nobel prizes awarded in 1976 ?
unknown,how do you get rid on woodpeckers ?
unknown,how many syllables are there in a line of hendecasyllabic poetry ?
what,"what soft drink first appeared in the old corner drug store in waco , texas , in 1885 ?"
what,what is britain 's possession on the chinese mainland ?
who,who was america 's first public enemy no. 1 ?
unknown,how many children under 18 are victims of some sort of physical abuse each year ?
what,what is the origin of thank you notes ?
what,what did jimmy stewart invent ?
what,what generation am i in ?
what,what is a fear of hell ?
who,who is dear abby ?
who,"who lives at 24 sussex drive , ottawa ?"
what,what is jell-o made from ?
who,who was monet ?
what,what are the only two states that incorporate the confederate battle flag in their flags ?
unknown,how do you make panoramic sugar eggs for easter - the ones with the scene inside ?
what,what 's the southern dish made of pigs ' small intestines ?
unknown,where is guam ?
who,who was the famous door-to-door brush salesman ?
what,what is the executor in a will ?
what,"what inescapable purveyor of background music celebrated its 5th anniversary in july , 1984 ?"
unknown,how many people in america snore ?
who,who is always trying to get the rent from andy capp ?
what,what soft drink is most heavily caffeinated ?
who,who did jackie kennedy commission to write the death of a president ?
unknown,which drug is commonly used to treat aids ?
unknown,how many stars are there on the soviet union 's flag ?
what,what is the difference between microprocessors & microcontrollers ?
who,who sought to create the great society ?
what,what are tourist attractions in reims ?
what,what are the lengths of pearl necklaces ?
who,who said : `` soldiers win the battles and generals get the credit '' ?
what,what is the proof that houseplants metabolize carcinogens ?
what,what prompted the co-pilot of the enola gay to enter only `` my god '' in his log ?
unknown,how long does it take the typical hen to lay 19 dozen eggs ?
what,what colorado city owns its own glacier ?
what,what is the history of `` the toast '' ?
what,what was the name of the protestant revolt against the supremacy of the pope ?
what,what is an arab strap ?
unknown,"how much does it cost , average or whatever is available , to produce and send junk mail catalogues in the us ? , dt cd nn nn ,"
who,who is the current un secretary general ?
who,"who provides telephone service in orange county , california ?"
unknown,where did guinea pigs originate ?
what,what two countries ' coastlines border the bay of biscay ?
unknown,why did egyptians shave their eyebrows ?
what,what organization did mr. waverly assign agents for ?
when,when was the slinky invented ?
what,what are the characters ' names in the scooby-doo cartoon ?
what,what is a fear of cold ?
what,what was eduard shevardnadze 's job in the soviet union ?
what,what causes rust ?
unknown,which is the only dick tracy villain to appear three times ?
what,what was the monster in spielberg 's film `` jaws '' ?
what,what color is an arctic fox in winter ?
what,"what do the names neil , mary , and anthony mean ?"
what,"what european capital celebrated its 2 , 000th anniversary in 1951 ?"
unknown,why do people in the upper peninsula of michagin say `` eh ? '' ?
what,what flower did vincent van gogh paint ?
what,what country was the setting of you only live twice ?
what,what was thatcher 's approval rating after 10 years in power ?
what,winnie the pooh is what kind of animal ?
what,"what was the first funk 'n lata , brazilian group , success ?"
what,what is a handheld pc ?
what,what did john hinckley do to impress jodie foster ?
what,what is larry king 's job ?
unknown,how many calories are in a tomato ?
what,in what state was the first co-educational college established
what,what war saw a naval battle between the luxury liners cap trafalgar and the carmania ?
what,what is the treatment for depression ?
what,what is a fear of slime ?
what,what country in latin america is the largest one ?
unknown,on which hawaiian island is pearl harbor ?
what,"what feathered cartoon characters do yugoslavians know as vlaja , gaja , and raja ?"
what,what marx brothers movie centers on a stolen painting ?
what,what was unusual about alexandra 's appearance in josie and the pussycats ?
what,what is the origin of the word `` mind '' ?
when,when was dick clark born ?
what,what game is fatal to anybody over 21 ?
what,what is the death toll of people dying from tuberculosis ?
what,what happened to moon maiden ?
what,what city is wiener schnitzel named for ?
what,what are the urals ?
unknown,how can you stop the itch from poison ivy ?
what,what desert has the highest sand dunes ?
what,what two countries contain sierra nevada mountains ?
unknown,how do you tell your parents you are dating an older man ?
unknown,how long was the tv mission of star trek 's enterprise to be ?
what,what phone number can i call to have a tree planted ?
when,when did the `` star-spangled banner '' become the national anthem ?
who,who was lacan ?
what,what are the four natural aids used in riding a horse ?
what,what continent 's name appears on the upper left corner of a budweiser label ?
who,who was the secretary of war in the civil war during the battle of gettysburg ?
who,who did bobby fischer beat to win the world chess championship ?
unknown,how do you exterminate bees that are in the walls of your home ? will bee eggs remain over winter ?
unknown,where can i get information and statistics on countries and nations ?
unknown,name a gaelic language .
what,"what day is august 13 , 1971 ?"
unknown,where can i find a list of all the companies in america that offer a direct stock purchase plan ?
unknown,how do you send a movie transcript to hollywood so that it can be produced into a film ?
what,"what literary classic centers on the search for a treasure in gold worth 7 , 0 pounds ?"
what,what is the origin of blue for boys and pink for girls ?
what,what is the name of the michelangelo painting that shows two hands with fingers touching ?
unknown,how big is a quart ?
what,what is the hub of london ?
unknown,jude law acted in which film ?
what,what causes panic attacks ?
what,what was the filling in the first golf balls ?
what,what drug did sigmund freud become fascinated with while experimenting with the treatment of neurasthenia ?
what,what country was a terrible beauty to leon uris ?
what,what is typhoid fever ?
unknown,where can i buy a hat like the kind jay kay from jamiroquai wears ?
what,what are the twin cities ?
what,what is beethoven 's 9th symphony called ?
unknown,name the lawyer for randy craft .
unknown,which breakfast cereal brought you `` the best each morning '' ?
what,"what does ms. , miss , and mrs. stand for ?"
what,what is the homelite inc. home page ?
what,"what explosive do you get by mixing charcoal , sulfur and saltpeter ?"
what,what mountainous region of the world is the lhasa apso dog native to ?
what,what cancer is commonly associated with aids ?
unknown,how long does it take light to reach the earth from the sun ?
who,who lives at 39 stone canyon way ?
unknown,how many questions are on this thing ?
who,who played humpty dumpty in the 1933 film alice in wonderland ?
who,"who is karenna gore , al gore 's oldest daughter , married to ?"
who,who played the title role in i was a teenage werewolf ?
unknown,why are there olives in martinis ?
what,in what year did hitler gain power of germany ?
what,what year did rossetti paint `` beata beatrix '' ?
what,what record company produced the 1978 movie the wiz ?
unknown,where can i find information about touring the philippines ?
what,what did the gas house gang play ?
unknown,how many square feet is bill gates ' home ?
what,"what is the name of actor rex harrison 's son , who starred in a modestly popular tv show during the late 1960's ?"
what,what is the highest roman numeral ?
what,what 's the most popular form of bridge ?
who,who was the inventor of the stove ?
what,what comedian has a legendary reputation for stealing jokes ?
unknown,where can i find information on the cyclone that hit new jersey on 8/28/1941 ?
what,boxing day is celebrated on what date ?
what,what are the first ten amendements passed ?
what,what is another term for the painful wrist syndrome ?
what,what 's the difference between sleet and freezing rain ?
unknown,how is the new ford econoline van f25 v1 engine ?
who,who was the king who was forced to agree to the magna carta ?
who,who was made the first honorary citizen of the u.s. ?
what,what game is garry kasparov really good at ?
unknown,where was richard nixon when gerald ford became president ?
unknown,where does the u.s. rank among world countries in area ?
what,what novel did ian fleming introduce james bond in ?
what,what was the target rate for m3 growth in 1992 ?
what,what baseball team was routinely called `` dem bums '' by its frustrated fans ?
unknown,name of scholar on whose literal translations from the chinese and japanese ezra pound depended ?
when,when did israel begin turning the gaza strip and jericho over to the plo ?
what,what are the major differences in the catholic and methodist religions ?
unknown,name the on stage character whose face was never seen .
unknown,how much energy is released when oxygen and hydrogen mix ?
what,what is the best internet business to go into ?
what,what does venus retrograde mean ?
who,who is known as `` the world 's oldest teenager '' ?
what,what are the largest breweries in the world ?
what,what does las vegas mean ?
what,what does the word `` meta '' mean ?
what,what keeps clouds in the air ?
what,what 's the term for any four-sided figure ?
unknown,ray charles plays which instrument ?
what,what country and western singer is known as the silver fox ?
what,what building appropriately enough is depicted on the back of the 1-dollar bill ?
what,what is graduate school ?
what,what is the difference between new york-style and chicago-style pizza ?
what,what baseball team owner and sailor is known as the mouth of the south ?
what,what type of betting is used in horse racing ?
what,what kind of hat does bat masterson wear ?
who,who was with patricia hearst the night she was kidnaped ?
what,what is the viking prince 's first name ?
what,what does the abbreviation cwt. ?
what,in what deodorant commercial did tenants have adjoining medicine cabinets ?
unknown,where is rider college located ?
what,what boxer 's life story is titled raging bull ?
what,for what reason did some san diego schools stop serving apples ?
who,who advised listeners to `` see the u.s.a. in your chevrolet '' ?
unknown,where was the first restaurant ?
unknown,where can i find full written draft of ctbt ?
unknown,how many horses died during the civil war ?
unknown,how much waste does an average dairy cow produce in a day ?
what,what nobel laureate was expelled from the philippines before the conference on east timor ?
what,"what woman has carried the most multiple births , twins , triplets , etc. , ?"
unknown,how many minutes were there on the original ge college bowl clock ?
what,what is the average time it takes for a male to ejaculate ?
what,what is website of the international court of justice ?
unknown,where are 8 of the 10 highest mountains in the world ?
unknown,where can i look at a perpetual calendar ?
unknown,how many astronauts have been on the moon ?
what,in what year did the bounty mutiny happen ?
what,what is the only substance that gives food its `` taste '' when eaten ?
unknown,how do you reference a website ?
what,what is pandoro ?
what,what do the letters zip stand for in the phrase `` zip code '' ?
unknown,which bourbon king was restored to the french throne during napoleon 's abdication ?
what,what is one of the cities that the university of minnesota is located in ?
what,what are the words to `` my way '' written by paul anka ?
unknown,how do i install a tile floor ?
what,what is the quickest and easiest way to get nail polish out of clothes ?
unknown,why was the zipper invented ?
what,what 's the no. 1 killer in industrialized countries ?
unknown,name four famous cartoon cats .
what,what daughter of henry viii and anne boleyn became queen of england ?
unknown,how did ` stat ' come to be used as an expression for quickly ?
what,what 's the most common nickname of u.s. college football teams ?
what,what 's the distinction of u.s. supreme court justice thurgood marshall ?
what,what is the most useful site on the internet ?
what,what is the world 's highest peak ?
what,what was a mae west on a world war ii battleship ?
affirmation,define cosmology .
what,what comedienne upstaged dwight d. eisenhower 's first inauguration by giving birth to her first child ?
what,what are amicable numbers ?
when,when were the olympic games in which nadia comaneci became popular played ?
unknown,"where is hearst castle , built by publisher william randolph hearst ?"
what,what 's the largest u.s. city on the great lakes ?
who,who sang about desmond and molly jones ?
what,"what magazine gives us the cream , not the skim ?"
what,what does the technique called `` cold fusion '' produce ?
what,what costume designer decided that michael jackson should only wear one glove ?
what,"what meter did shakespeare use in writing : `` to be , or not to be , that is the question.. . '' ?"
unknown,how many rows of sprocket holes does a roll of 35-millimeter film have ?
what,what is the goat population of the world ?
what,what company was the original sponsor of tv 's superman ?
what,what term does a czech use to describe a pole ?
what,what sea separates naples and algiers ?
unknown,how many lawyers are there in the state of new jersey ?
what,what are the most common elements in seawater ?
affirmation,describe the finnish music personality salonen 's appearance .
what,what is the origin of the ethnic category `` caucasian '' ?
what,what is a stratocaster ?
what,what kind of science is cosmology ?
unknown,name the blind sculptress in love with the fantastic four 's thing .
what,what 's the second-lightest element ?
what,what do you call a `` twirl '' in ballet ?
what,what is the brand name of daminozide ?
what,what is the former name of zimbabwe ?
what,what national basketball association superstar told his story in giant steps ?
what,what animals did the amazing three masquerade as ?
unknown,how did the bikini bathing suite get its name ?
when,when did fraze get his first patent for the pull-tab can ?
unknown,how many games are played in a five-team round-robin tournament ?
who,who developed the first polio vaccine ?
who,who made the first gas engine ?
what,"what country claimed rubens , van dyck and bruegel as citizens ?"
what,what civil war was fought between 1936 and 1939 ?
unknown,how many questions do you have on your database ?
unknown,how do clouds form ?
unknown,where can i find examples of legal cases about the individuals with disabilities education act ?
what,what character did tex avery first create upon arriving at mgm ?
when,when was the triangle shirtwaist fire ?
what,what asian spiritual and political leader was married at the age of 13 ?
unknown,where is ocho rios ?
what,what is the half-life of p-32 ?
what,what ocean does mauritania border ?
unknown,why do pressure cookers save time in the kitchen ?
unknown,why are there 12 people on a jury in criminal cases ?
what,what do christian scientists believe in ?
what,"what world war i battle saw 6 , 0 troops killed in one day ?"
what,what country is kosovo a part of ?
what,tell me what city the kentucky horse park is near ?
what,what computer operating system is on the most computers ?
what,what is bill gross 's email address ?
what,what is the economic impact of unemployment on the economy ?
what,"what do the letters d.c. stand for in washington , d.c. ?"
what,what animals can live the longest without food ?
what,what english queen had seventeen children ?
what,"what is the approximate population of las vegas , n.m ?"
unknown,how much does the president get paid ?
what,what two baseball players make up the battery ?
